ár,mán,t
1949,1,-2.7
1949,2,0.0
1949,3,0.1
1949,4,-0.0
1949,5,3.6
1949,6,9.8
1949,7,10.5
1949,8,10.1
1949,9,9.0
1949,10,4.5
1949,11,2.5
1949,12,-1.3
1950,1,2.8
1950,2,-0.7
1950,3,1.3
1950,4,2.2
1950,5,7.1
1950,6,9.3
1950,7,12.4
1950,8,12.1
1950,9,7.2
1950,10,4.5
1950,11,0.7
1950,12,-1.4
1951,1,-1.5
1951,2,-0.9
1951,3,-3.0
1951,4,-0.0
1951,5,6.9
1951,6,9.8
1951,7,10.6
1951,8,11.4
1951,9,9.7
1951,10,5.7
1951,11,0.8
1951,12,-0.8
1952,1,-2.9
1952,2,-0.3
1952,3,1.0
1952,4,3.4
1952,5,6.2
1952,6,8.4
1952,7,10.1
1952,8,10.1
1952,9,7.7
1952,10,5.7
1952,11,2.6
1952,12,1.3
1953,1,0.6
1953,2,1.9
1953,3,2.7
1953,4,0.1
1953,5,6.8
1953,6,10.2
1953,7,11.9
1953,8,11.5
1953,9,9.7
1953,10,4.2
1953,11,2.0
1953,12,2.5
1954,1,2.0
1954,2,0.1
1954,3,1.6
1954,4,4.4
1954,5,7.5
1954,6,10.2
1954,7,10.5
1954,8,11.0
1954,9,6.1
1954,10,3.7
1954,11,2.7
1954,12,-0.8
1955,1,-2.0
1955,2,-2.8
1955,3,1.4
1955,4,5.6
1955,5,5.7
1955,6,9.9
1955,7,10.6
1955,8,10.1
1955,9,8.1
1955,10,3.9
1955,11,4.3
1955,12,-2.1
1956,1,-3.2
1956,2,2.7
1956,3,3.6
1956,4,3.6
1956,5,6.6
1956,6,8.4
1956,7,10.7
1956,8,9.9
1956,9,9.2
1956,10,4.7
1956,11,5.0
1956,12,2.1
1957,1,1.1
1957,2,-1.5
1957,3,0.4
1957,4,5.0
1957,5,7.0
1957,6,9.9
1957,7,12.0
1957,8,11.3
1957,9,7.1
1957,10,4.7
1957,11,3.0
1957,12,-0.4
1958,1,-2.2
1958,2,-2.0
1958,3,0.4
1958,4,4.4
1958,5,4.7
1958,6,10.2
1958,7,12.0
1958,8,10.2
