 ár,mán,  t
1961,5,
1961,6,
1961,7,
1961,8,
1961,9,
1961,10,
1962,6,
1962,7,
1962,8,
1962,9,
1962,10,
1963,5,
1963,6,
1963,7,
1963,8,
1963,9,
1963,10,
1964,5,
1981,5,
1981,6,
1981,7,
1981,8,
1981,9,
1981,10,
1982,5,
1982,6,
1982,7,
1982,8,
1982,9,
1982,10,
1983,5,
1983,6,
1983,7,
1983,8,
1983,9,
1983,10,
1984,5,
1984,6,
1984,7,
1984,8,
1984,9,
1984,10,
1985,5,
1985,6,
1985,7,
1985,8,
1985,9,
1985,10,
1986,5,
1986,6,
1986,7,
1986,8,
1986,9,
1986,10,
1987,5,
1987,6,
1987,7,
1987,8,
1987,9,
1987,10,
1988,5,
1988,6,
1988,7,
1988,8,
1988,9,
1988,10,
1989,5,
1989,6,
1989,7,
1989,8,
1989,9,
1989,10,
1990,5,
1990,6,
1990,7,
1990,8,
1990,9,
1990,10,
1991,5,
1991,6,
1991,7,
1991,8,
1991,9,
1991,10,
1992,5,
1992,6,
1992,7,
1992,8,
1992,9,
1992,10,
1993,5,
1993,6,
1993,7,
1993,8,
1993,9,
1993,10,
1994,5,
1994,6,
1994,7,
1994,8,
1994,9,
1994,10,
1995,6,
1995,7,
1995,8,
1995,9,
1995,10,
1996,5,
1996,6,
1996,7,
1996,8,
1996,9,
1996,10,
1997,5,
1997,6,
1997,7,
1997,8,
1997,9,
1997,10,
1998,5,
1998,6,
1998,7,
1998,8,
1998,9,
1998,10,
1999,5,
1999,6,
1999,7,
1999,8,
1999,9,
1999,10,
2000,5,
2000,6,
2000,7,
2000,8,
2000,9,
2000,10,
2001,5,
2001,6,
2001,7,
2001,8,
